id	category	trigger	resources	entry
apple-design	00_本地已有Skills	基于Apple WWDC流体交互设计，用于UI设计评审、手势驱动界面、弹簧动画、拖拽/侧滑/抽屉弹窗、动量过渡、毛玻璃材质、深度层级、光学字号排版、减弱动效无障碍场景	scripts/references/templates	00_本地已有Skills/apple-design/SKILL.md
ardot-design-core	00_本地已有Skills	"Foundational workflow and hard rules shared by ALL Ardot canvas design tasks (UI screens, slides	references	00_本地已有Skills/ardot-design-core/SKILL.md
ardot-design-to-code	00_本地已有Skills	"Use this skill for Ardot canvas tasks that convert a design into frontend code, or extract a design	references	00_本地已有Skills/ardot-design-to-code/SKILL.md
ardot-poster	00_本地已有Skills	"Use this skill for Ardot canvas design tasks whose deliverable is a visual poster — posters, flyers	references	00_本地已有Skills/ardot-poster/SKILL.md
ardot-ui-design	00_本地已有Skills	"Use this skill for Ardot canvas design tasks whose deliverable is a UI / interface design — web pages	references	00_本地已有Skills/ardot-ui-design/SKILL.md
buddy-image-processing	00_本地已有Skills	Process existing images with text and watermark removal, general enhancement, portrait beautification	scripts	00_本地已有Skills/buddy-image-processing/SKILL.md
buddy-multimodal-generation	00_本地已有Skills	3D模型生成和基于模板的视频特效能力。仅支持：文生3D模型、图生3D模型、基于模板的图片视频特效（video-fx）。 适用于用户需要 AI 创作 3D	scripts	00_本地已有Skills/buddy-multimodal-generation/SKILL.md
chart-png-cjk	00_本地已有Skills	用 matplotlib 生成含中文的深色金融图表 PNG（K线/走势图/对比图）。当需要导出带中文标签的行情图、股价走势图、K线图、金融数据可视化图片时使用。内含中文字体正确加载、$		00_本地已有Skills/chart-png-cjk/SKILL.md
design-router	00_本地已有Skills	"Dispatcher for WorkBuddy's Design assistant. Use this when a design task is in Craft/design mode but		00_本地已有Skills/design-router/SKILL.md
design-taste-frontend	00_本地已有Skills	设计品味-前端专用技能，帮助AI Agent高效完成相关任务。		00_本地已有Skills/design-taste-frontend/SKILL.md
livestream-poster	00_本地已有Skills	生成直播宣传海报：支持完整风格文件、风格目录静默匹配和用户风格参考图三种工作流，收集人物、Logo、文案与比例后，用 ImageGen 生成底图并在 Ardot 画布完成排版	scripts/references	00_本地已有Skills/livestream-poster/SKILL.md
miora-brand-design	00_本地已有Skills	品牌视觉设计的决策层。当交付物是品牌资产时使用——Logo、品牌吉祥物 / IP 角色、品牌 VI 全案、IP 物料延展。负责品牌信息采集、需求范围识别，以及以 Logo 为锚点的一致性约束	references	00_本地已有Skills/miora-brand-design/SKILL.md
miora-image-generation	00_本地已有Skills	图片生成与编辑的决策层。当交付物是静态图片时使用——覆盖 prompt 构建、比例与尺寸映射、参考图使用、系列一致性锚点链、数量纪律，以及电商详情图等具体场景。品牌类需求（Logo、吉祥物、VI 全案、IP	references	00_本地已有Skills/miora-image-generation/SKILL.md
miora-video-generation	00_本地已有Skills	视频生成的决策层。当交付物是会动的内容时使用——覆盖镜头与运动描述、时长与画幅、主体一致性、失败处置与跨轮次。	references	00_本地已有Skills/miora-video-generation/SKILL.md
sites	00_本地已有Skills	将生成内容发布为在线链接，或取消发布已上线的应用。适合网站、小游戏等交互式内容，支持任意可作为单端口 HTTP 服务运行的项目（静态站点 / PDF / Node.js / Python / Go）		00_本地已有Skills/sites/SKILL.md
ui-design-system	00_本地已有Skills	专业UI生成与现有界面优化技能。当用户请求生成UI界面、设计页面、优化现有界面、创建组件库、设计系统、App界面、Web界面、Dashboard、Landing	references	00_本地已有Skills/ui-design-system/SKILL.md
aesthetic--aesthetic-application	01_设计品味与反AI味	Use this skill when you need a complete developer-ready design specification for a named aesthetic: W3C	references	01_设计品味与反AI味/aesthetic--aesthetic-application/SKILL.md
aesthetic--aesthetic-literacy	01_设计品味与反AI味	Use this skill when a user names or describes a visual aesthetic (Y2K, vaporwave, brutalist	references	01_设计品味与反AI味/aesthetic--aesthetic-literacy/SKILL.md
anthropic--algorithmic-art	01_设计品味与反AI味	Creating algorithmic art using p5.js with seeded randomness and interactive parameter exploration. Use	templates	01_设计品味与反AI味/anthropic--algorithmic-art/SKILL.md
anthropic--brand-guidelines	01_设计品味与反AI味	Applies Anthropic's official brand colors and typography to any sort of artifact that may benefit from		01_设计品味与反AI味/anthropic--brand-guidelines/SKILL.md
anthropic--canvas-design	01_设计品味与反AI味	Create beautiful visual art in .png and .pdf documents using design philosophy. You should use this		01_设计品味与反AI味/anthropic--canvas-design/SKILL.md
anthropic--frontend-design	01_设计品味与反AI味	Guidance for distinctive, intentional visual design when building new UI or reshaping an existing one		01_设计品味与反AI味/anthropic--frontend-design/SKILL.md
anthropic--theme-factory	01_设计品味与反AI味	Toolkit for styling artifacts with a theme. These artifacts can be slides, docs, reportings, HTML	themes	01_设计品味与反AI味/anthropic--theme-factory/SKILL.md
anthropic--web-artifacts-builder	01_设计品味与反AI味	Suite of tools for creating elaborate, multi-component claude.ai HTML artifacts using modern frontend	scripts	01_设计品味与反AI味/anthropic--web-artifacts-builder/SKILL.md
carson--design-exploration	01_设计品味与反AI味	Generates multiple distinct design variants of a component or page, each with a completely different		01_设计品味与反AI味/carson--design-exploration/SKILL.md
ibelick--baseline-ui	01_设计品味与反AI味	Quickly deslop UI code by fixing spacing, hierarchy, typography, and small layout issues. Use when the		01_设计品味与反AI味/ibelick--baseline-ui/SKILL.md
impeccable--impeccable	01_设计品味与反AI味	Use when the user wants to design, redesign, shape, critique, audit, polish, clarify, distill, harden	scripts/reference	01_设计品味与反AI味/impeccable--impeccable/SKILL.md
mengto--audit-ai-design-slop	01_设计品味与反AI味	Audit websites, apps, screenshots, mockups, and design code for harmful AI-design clichés, generic	agents	01_设计品味与反AI味/mengto--audit-ai-design-slop/SKILL.md
mengto--design-first-ui-prompting	01_设计品味与反AI味	Use when you need design-first, spec-driven, skimmable prompts for UI generation. Covers prompt		01_设计品味与反AI味/mengto--design-first-ui-prompting/SKILL.md
mengto--no-ai-design-slop	01_设计品味与反AI味	Prevent and remove generic AI-generated design defaults, incoherent visual choices, and established UI	agents	01_设计品味与反AI味/mengto--no-ai-design-slop/SKILL.md
polished--polished-ui-design	01_设计品味与反AI味	Guides an agent to generate polished, professional web UI that avoids the generic "AI slop" / "vibe	references	01_设计品味与反AI味/polished--polished-ui-design/SKILL.md
superdesign--superdesign	01_设计品味与反AI味	"Design or redesign frontend UI, presentations, and graphics on the Superdesign canvas with a choice of	references/agents	01_设计品味与反AI味/superdesign--superdesign/SKILL.md
taste--brandkit	01_设计品味与反AI味	Premium brand-kit image generation skill for creating high-end brand-guidelines boards, logo systems		01_设计品味与反AI味/taste--brandkit/SKILL.md
taste--brutalist-skill	01_设计品味与反AI味	Raw mechanical interfaces fusing Swiss typographic print with military terminal aesthetics. Rigid		01_设计品味与反AI味/taste--brutalist-skill/SKILL.md
taste--gpt-tasteskill	01_设计品味与反AI味	Elite UX/UI & Advanced GSAP Motion Engineer. Enforces Python-driven true randomization for layout		01_设计品味与反AI味/taste--gpt-tasteskill/SKILL.md
taste--image-to-code-skill	01_设计品味与反AI味	Elite website image-to-code skill for Codex. For visually important web tasks, it must first generate		01_设计品味与反AI味/taste--image-to-code-skill/SKILL.md
taste--imagegen-frontend-mobile	01_设计品味与反AI味	Elite mobile app image-generation skill for creating premium, app-native screen concepts and flows		01_设计品味与反AI味/taste--imagegen-frontend-mobile/SKILL.md
taste--imagegen-frontend-web	01_设计品味与反AI味	Elite frontend image-direction skill for generating premium, conversion-aware website design		01_设计品味与反AI味/taste--imagegen-frontend-web/SKILL.md
taste--minimalist-skill	01_设计品味与反AI味	Clean editorial-style interfaces. Warm monochrome palette, typographic contrast, flat bento grids		01_设计品味与反AI味/taste--minimalist-skill/SKILL.md
taste--output-skill	01_设计品味与反AI味	Overrides default LLM truncation behavior. Enforces complete code generation, bans placeholder		01_设计品味与反AI味/taste--output-skill/SKILL.md
taste--redesign-skill	01_设计品味与反AI味	Upgrades existing websites and apps to premium quality. Audits current design, identifies generic AI		01_设计品味与反AI味/taste--redesign-skill/SKILL.md
taste--soft-skill	01_设计品味与反AI味	Teaches the AI to design like a high-end agency. Defines the exact fonts, spacing, shadows, card		01_设计品味与反AI味/taste--soft-skill/SKILL.md
taste--stitch-skill	01_设计品味与反AI味	Semantic Design System Skill for Google Stitch. Generates agent-friendly DESIGN.md files that enforce		01_设计品味与反AI味/taste--stitch-skill/SKILL.md
taste--taste-skill	01_设计品味与反AI味	Anti-slop frontend skill for landing pages, portfolios, and redesigns. The agent reads the brief		01_设计品味与反AI味/taste--taste-skill/SKILL.md
taste--taste-skill-v1	01_设计品味与反AI味	The original v1 taste-skill, preserved for projects depending on its exact behavior. The current		01_设计品味与反AI味/taste--taste-skill-v1/SKILL.md
tasteful--tasteful-ui	01_设计品味与反AI味	"UI design and implementation for real product surfaces with taste-first critique, reference routing	references	01_设计品味与反AI味/tasteful--tasteful-ui/SKILL.md
tastemaker--tastemaker	01_设计品味与反AI味	Generate genuinely beautiful, on-brand UI instead of generic "AI slop" — use whenever the user asks to	scripts/references/assets	01_设计品味与反AI味/tastemaker--tastemaker/SKILL.md
transitions--transitions-polish	01_设计品味与反AI味	Polish and refine existing motion against the transitions.dev motion-token scale — duration, distance		01_设计品味与反AI味/transitions--transitions-polish/SKILL.md
